retweet,likes,reply,num,image,video,gif
0,11,2,6,2,0,0
2,5,1,6,2,0,0
4,3,0,6,2,0,0
9,17,1,8,0,0,0
1,5,0,3,0,0,0
23,40,3,10,1,0,0
1,12,1,5,0,0,0
5,7,0,5,2,1,0
0,4,0,4,0,0,0
2,5,0,4,1,0,0
0,6,0,5,1,0,0
11,29,2,11,5,1,0
5,10,3,8,2,0,0
7,21,6,10,1,0,0
1,21,2,13,2,0,0
9,36,4,18,2,0,0
12,50,4,15,0,1,0
7,23,6,16,2,0,0
19,214,55,13,3,0,0
5,26,2,7,3,0,0
20,71,18,21,3,1,0
9,39,7,12,1,0,0
1,12,3,7,1,0,0
6,23,8,12,3,0,0
3,7,0,6,0,0,0
0,4,0,2,0,0,0
39,250,26,8,0,1,0
3,10,0,7,0,0,0
2,4,0,3,1,1,0
0,0,1,2,1,0,0
2,7,1,5,2,0,0
0,0,0,2,1,0,0
0,0,0,1,1,0,0
4,9,0,2,0,0,0
4,7,1,4,0,0,0
62,0,1,1,0,0,0
1,4,1,2,1,0,0
0,10,1,2,0,0,0
1,1,0,3,2,0,0
36,148,5,3,2,0,0
1,4,1,8,2,0,0
2,64,9,3,2,0,0
4,10,2,8,2,0,0
5,13,4,10,2,1,0
5,13,2,5,1,1,0
0,0,1,2,1,0,0
0,0,0,2,0,0,0
0,4,0,4,1,0,0
7,8,1,4,0,0,0
1,2,0,2,0,0,0
3,9,0,2,1,0,0
0,1,0,2,0,1,0
2,9,3,6,2,0,0
0,0,3,2,1,0,0
29,57,3,2,1,0,0
0,2,0,2,0,0,0
0,2,1,3,0,0,0
1,15,2,2,1,0,0
1,1,0,3,2,0,0
1,1,1,3,2,0,0
3,6,0,4,1,1,0
0,1,0,1,0,0,0
9,18,2,6,1,0,0
11,35,3,3,2,0,0
2,10,0,6,2,0,0
21,71,2,11,1,3,0
3,19,1,10,4,0,0
14,165,6,7,2,0,0
5,14,5,7,1,0,0
8,14,2,12,2,0,0
1,5,2,4,0,1,0
4,21,1,3,2,0,0
11,44,6,9,2,1,0
2,19,2,3,1,0,0
2,2,2,2,0,0,0
3,7,2,1,0,0,0
7,9,0,2,0,0,0
1,1,0,1,0,0,0
1,0,0,1,1,0,0
2,3,0,3,1,0,0
21,8,0,2,0,1,0
1,1,0,2,0,0,0
10,55,9,4,3,0,0
67,120,43,9,2,0,0
16,75,3,7,3,0,0
7,46,3,7,1,0,0
22,82,36,9,2,1,0
16,88,13,13,1,0,0
8,25,4,9,2,0,0
11,9,6,8,2,0,0
1,13,4,10,4,0,0
5,16,5,10,3,0,0
4,24,3,10,1,0,0
7,48,4,10,1,0,0
1,11,3,6,0,0,0
0,3,0,3,0,0,0
9,43,2,4,1,0,0
35,184,7,7,2,0,0
3,6,2,4,1,0,0
2,5,1,6,4,0,0
0,6,0,1,0,0,0
1,1,1,2,1,0,0
3,6,2,3,2,0,0
5,25,5,7,2,2,0
1,0,1,1,1,0,0
2,16,0,4,1,0,0
7,56,7,9,3,1,0
25,70,12,9,1,0,0
10,42,2,17,7,0,0
17,70,10,17,1,0,0
42,101,14,23,7,1,0
48,195,17,16,4,1,0
54,191,19,20,2,0,0
17,55,5,21,4,0,0
24,77,2,14,6,0,0
40,191,15,22,3,0,0
14,42,9,11,2,0,0
37,103,13,14,1,0,0
33,101,20,10,2,0,0
3,10,1,7,1,0,0
3,12,0,4,0,0,0
4,118,14,3,1,0,0
3,9,2,5,0,0,0
2,5,0,4,2,0,0
0,1,0,4,0,0,0
2,4,0,2,1,0,0
6,16,0,3,1,0,0
0,2,1,3,0,0,0
1,4,0,6,4,0,0
14,43,10,9,2,1,0
6,16,1,7,3,0,0
8,21,0,12,2,0,0
10,17,8,16,1,0,0
36,118,7,13,3,0,0
161,397,22,21,2,0,0
121,293,49,43,3,0,0
35,242,22,32,5,0,0
87,589,32,25,3,0,0
144,539,49,45,3,0,0
72,443,34,27,5,0,0
35,205,28,26,4,0,0
33,99,33,34,2,0,0
5,28,3,17,3,1,0
8,37,1,15,2,0,0
